album,year,genre,lead_single
Sounding the Seventh Trumpet,2001,Metalcore,To End the Rapture
Waking the Fallen,2003,Metalcore,Unholy Confessions
City of Evil,2005,Heavy Metal,Bat Country
Avenged Sevenfold,2007,Alternative Metal,Almost Easy
Nightmare,2010,Heavy Metal,Nightmare
Hail to the King,2013,Heavy Metal,Hail to the King
The Stage,2016,Progressive Metal,The Stage
Life Is but a Dream...,2023,Experimental Metal,Nobody
